K,distance_vans,nb_rebalancings,unmet_demand
1,50.01521947119492,23.0,1112.9999996234767
2,54.02915791348925,34.9999999999896,1021.999999612518
3,66.82367372214755,43.0,1001.0
4,66.8107906080257,55.0,1009.0
5,66.62115564907826,56.0,982.0
6,96.83555218004913,56.0,959.0
7,71.90539267586152,64.0,910.0
8,64.22109212744944,60.0000001906144,912.999998652087
9,70.5381740016247,71.0,888.0
10,71.44437348198761,76.0,904.0
