K,distance_vans,nb_rebalancings,unmet_demand
1,42.8506269515767,23.0,1092.9999998065666
2,68.75499208031265,40.0,1002.0
3,74.72448585515157,53.0,915.0
4,90.70925830390394,46.0,996.0
5,86.66144859454388,74.0,889.0
6,92.54017712713214,82.0,876.0
7,87.10117270899076,76.0,845.0
8,82.68212636802708,86.0,814.9999995009325
9,74.09844785364086,73.0,872.0
10,80.132480218309,80.0,857.0
