K,distance_vans,nb_rebalancings,unmet_demand
1,40.028869362672964,21.0,839.0
2,66.2733196659358,37.0,752.0
3,68.42018231442522,44.0,712.0
4,70.0557594989523,54.0,676.0
5,80.17998656296352,60.0,697.0
6,75.52759764987925,59.0,649.0
7,85.688263122826,67.0,631.0
8,82.3992934871321,75.00000000589327,612.9999999270806
9,79.29321475649537,76.0,586.0
10,82.0679211081048,77.0,602.0
