K,distance_vans,nb_rebalancings,unmet_demand
1,40.90422457643233,19.0,742.0
2,56.18157706760685,34.0,686.0
3,78.81050889589858,44.0,635.0
4,65.71031965801834,51.0,629.0
5,56.748243065747076,49.0,668.0000000005035
6,59.49614310828328,51.0,619.0
7,65.08184903648778,59.0,635.9999996682018
8,65.3195097948001,56.0,614.0
9,58.96608117353967,51.0,631.0
10,61.71156702223617,56.0,603.0
