K,distance_vans,nb_rebalancings,unmet_demand
1,39.5394981461668,20.0,404.0
2,55.31614381930323,33.0,352.0
3,57.80339850444104,39.0,340.0
4,51.311275046118496,45.0,334.0
5,55.412495693645084,51.0,334.0
6,51.10836927271006,48.0,325.0
7,53.50137346894542,55.0,318.0
8,48.8864924781338,60.0,317.0
9,53.63872096089532,56.0,292.0
10,50.46613115870501,53.0,298.0
