K,distance_vans,nb_rebalancings,unmet_demand
1,47.69791715907167,22.0,434.0
2,59.84902536734548,35.0,393.0
3,57.478844404695856,39.0,375.0
4,49.48608139552134,46.0,382.0
5,63.31185103744878,45.0,381.0
6,55.281790347922865,51.0,358.0
7,52.66024162680477,51.0,361.0
8,38.744172303089684,46.0,409.0
9,32.928359847162376,39.0,438.0
10,48.12125250139846,56.0,369.0
