station_id,num_bikes_available,num_docks_disabled,num_docks_available,num_ebikes_available,eightd_has_available_keys,station_status,legacy_id,is_installed,is_renting,is_returning,num_bikes_disabled,last_reported
3,1,0,14,0,False,active,3,1,1,1,0,1670302673
4,5,0,14,0,False,active,4,1,1,1,0,1670301551
5,0,0,0,0,False,out_of_service,5,0,0,0,0,86400
6,12,0,3,0,False,active,6,1,1,1,0,1670298136
7,9,0,6,0,False,active,7,1,1,1,0,1670296834
8,8,0,11,0,False,active,8,1,1,1,0,1670297383
9,0,0,13,0,False,active,9,1,1,1,2,1670300685
10,6,0,5,0,False,active,10,1,1,1,0,1670302080
11,0,0,13,0,False,active,11,1,1,1,2,1670284940
12,18,0,5,0,False,active,12,1,1,1,3,1670301442
13,0,0,18,0,False,active,13,1,1,1,1,1670291140
14,0,0,24,0,False,active,14,1,1,1,1,1670294612
15,14,0,1,0,False,active,15,1,1,1,0,1670298596
16,12,0,6,0,False,active,16,1,1,1,1,1670298126
17,4,0,11,0,False,active,17,1,1,1,0,1670299734
19,3,0,10,0,False,active,19,1,1,1,2,1670301906
20,15,0,6,0,False,active,20,1,1,1,2,1670300309
21,3,0,14,0,False,active,21,1,1,1,1,1670296244
22,23,0,22,0,False,active,22,1,1,1,2,1670300219
23,0,0,25,0,False,active,23,1,1,1,0,1670300202
24,6,0,12,0,False,active,24,1,1,1,1,1670297532
25,13,0,1,0,False,active,25,1,1,1,1,1670300122
26,13,0,2,0,False,active,26,1,1,1,0,1670293592
27,3,0,17,0,False,active,27,1,1,1,3,1670301980
29,1,0,17,0,False,active,29,1,1,1,1,1670293256
30,12,0,3,0,False,active,30,1,1,1,0,1670297863
31,6,0,13,0,False,active,31,1,1,1,0,1670289989
32,4,0,11,0,False,active,32,1,1,1,0,1670299949
33,6,0,18,0,False,active,33,1,1,1,2,1670300707
35,0,0,0,0,False,out_of_service,35,0,0,0,0,86400
36,15,0,18,0,False,active,36,1,1,1,0,1670302795
37,3,0,11,0,False,active,37,1,1,1,1,1670299567
39,18,0,9,0,False,active,39,1,1,1,0,1670299356
40,3,0,15,0,False,active,40,1,1,1,1,1670295118
41,16,0,11,0,False,active,41,1,1,1,0,1670302621
43,1,0,12,0,False,active,43,1,1,1,1,1670300438
44,7,0,16,0,False,active,44,1,1,1,0,1670296971
46,9,0,7,0,False,active,46,1,1,1,3,1670302305
47,18,0,0,0,False,active,47,1,1,1,1,1670302591
48,0,0,0,0,False,out_of_service,48,0,0,0,0,86400
49,15,0,2,0,True,active,49,1,1,1,0,1670297671
50,0,0,15,0,False,active,50,1,1,1,0,1670299796
