num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_returning,last_reported,num_ebikes_available,num_bikes_disabled,station_id,is_renting,station_status,is_installed,legacy_id,num_docks_available
0,0,False,0,86400,0,0,106,0,out_of_service,0,106,0
0,1,False,1,1670215413,0,3,107,1,active,1,107,15
0,2,False,1,1670209523,0,0,108,1,active,1,108,15
0,32,False,1,1670177762,0,1,109,1,active,1,109,2
0,3,False,1,1670215095,0,0,110,1,active,1,110,12
0,4,False,1,1670211456,0,0,111,1,active,1,111,11
0,0,False,0,86400,0,0,112,0,out_of_service,0,112,0
0,0,False,0,86400,0,0,113,0,out_of_service,0,113,0
0,7,False,1,1670212990,0,0,114,1,active,1,114,8
0,12,False,1,1670212239,0,0,115,1,active,1,115,7
0,19,False,1,1670215357,0,1,116,1,active,1,116,3
0,7,False,1,1670214231,0,1,117,1,active,1,117,11
0,15,False,1,1670201030,0,1,118,1,active,1,118,3
0,13,False,1,1670206401,0,1,119,1,active,1,119,1
0,0,False,0,86400,0,0,120,0,out_of_service,0,120,0
0,8,False,1,1670209427,0,1,121,1,active,1,121,8
0,0,False,0,86400,0,0,122,0,out_of_service,0,122,0
0,12,False,1,1670207610,0,0,124,1,active,1,124,3
0,0,False,1,1670204656,0,1,125,1,active,1,125,14
0,3,False,1,1670215552,0,1,126,1,active,1,126,11
0,0,False,0,86400,0,0,128,0,out_of_service,0,128,0
0,0,False,0,86400,0,0,129,0,out_of_service,0,129,0
0,0,False,0,86400,0,0,130,0,out_of_service,0,130,0
0,7,False,1,1670209498,0,0,131,1,active,1,131,11
0,11,False,1,1670211707,0,0,133,1,active,1,133,12
0,2,False,1,1670175522,0,0,135,1,active,1,135,15
0,9,False,1,1670213940,0,2,136,1,active,1,136,8
0,9,False,1,1670196311,0,0,137,1,active,1,137,10
0,8,False,1,1670194828,0,4,138,1,active,1,138,3
0,12,False,1,1670214410,0,1,139,1,active,1,139,6
0,13,False,1,1670202768,0,2,140,1,active,1,140,2
0,3,False,1,1670209520,0,0,141,1,active,1,141,12
0,20,False,1,1670203222,0,0,142,1,active,1,142,3
0,1,False,1,1670213589,0,0,143,1,active,1,143,22
0,2,False,1,1670210498,0,0,144,1,active,1,144,17
0,13,False,1,1670211058,0,0,145,1,active,1,145,6
0,18,False,1,1670206417,0,0,146,1,active,1,146,1
0,6,False,1,1670215704,0,0,149,1,active,1,149,11
0,10,False,1,1670200339,0,2,150,1,active,1,150,7
0,3,False,1,1670205099,0,0,151,1,active,1,151,16
0,16,False,1,1670206704,0,0,152,1,active,1,152,11
0,8,False,1,1670210025,0,3,157,1,active,1,157,4
1,5,False,1,1670212813,0,2,159,1,active,1,159,7
0,6,False,1,1670209890,0,1,160,1,active,1,160,7
0,12,False,1,1670214507,0,3,161,1,active,1,161,8
0,0,False,1,1670204759,0,0,162,1,active,1,162,15
0,16,False,1,1670202434,0,1,163,1,active,1,163,2
0,0,False,0,86400,0,0,167,0,out_of_service,0,167,0
0,8,False,1,1670209747,0,0,169,1,active,1,169,11
0,8,False,1,1670188621,0,0,170,1,active,1,170,6
0,4,False,1,1670210292,0,0,171,1,active,1,171,19
0,7,False,1,1670172744,0,1,173,1,active,1,173,6
0,11,False,1,1670198777,0,3,174,1,active,1,174,1
0,9,False,1,1670196386,0,0,175,1,active,1,175,8
0,13,False,1,1670206150,0,2,176,1,active,1,176,0
0,5,False,1,1670212142,0,0,177,1,active,1,177,14
1,17,False,0,1670200879,0,1,178,0,active,1,178,0
0,51,False,1,1670206526,0,2,179,1,active,1,179,0
