last_reported,is_installed,num_bikes_disabled,num_ebikes_available,num_bikes_available,eightd_has_available_keys,num_docks_available,station_id,station_status,is_returning,num_docks_disabled,is_renting,legacy_id
86400,0,0,0,0,False,0,120,out_of_service,0,0,0,120
1670217411,1,1,0,9,False,7,121,active,1,0,1,121
86400,0,0,0,0,False,0,122,out_of_service,0,0,0,122
1670207610,1,0,0,12,False,3,124,active,1,0,1,124
1670204656,1,1,0,0,False,14,125,active,1,0,1,125
1670215552,1,1,0,3,False,11,126,active,1,0,1,126
86400,0,0,0,0,False,0,128,out_of_service,0,0,0,128
86400,0,0,0,0,False,0,129,out_of_service,0,0,0,129
86400,0,0,0,0,False,0,130,out_of_service,0,0,0,130
1670209498,1,0,0,7,False,11,131,active,1,0,1,131
1670211707,1,0,0,11,False,12,133,active,1,0,1,133
1670175522,1,0,0,2,False,15,135,active,1,0,1,135
1670213940,1,2,0,9,False,8,136,active,1,0,1,136
1670196311,1,0,0,9,False,10,137,active,1,0,1,137
1670218583,1,4,0,9,False,2,138,active,1,0,1,138
1670219557,1,1,0,12,False,6,139,active,1,0,1,139
1670202768,1,2,0,13,False,2,140,active,1,0,1,140
1670209520,1,0,0,3,False,12,141,active,1,0,1,141
1670203222,1,0,0,20,False,3,142,active,1,0,1,142
1670213589,1,0,0,1,False,22,143,active,1,0,1,143
1670210498,1,0,0,2,False,17,144,active,1,0,1,144
1670211058,1,0,0,13,False,6,145,active,1,0,1,145
1670206417,1,0,0,18,False,1,146,active,1,0,1,146
1670219369,1,0,0,5,False,12,149,active,1,0,1,149
1670216984,1,2,0,9,False,8,150,active,1,0,1,150
1670205099,1,0,0,3,False,16,151,active,1,0,1,151
1670206704,1,0,0,16,False,11,152,active,1,0,1,152
1670219711,1,3,0,9,False,3,157,active,1,0,1,157
1670212813,1,2,0,5,False,7,159,active,1,1,1,159
1670209890,1,1,0,6,False,7,160,active,1,0,1,160
1670214507,1,3,0,12,False,8,161,active,1,0,1,161
1670204759,1,0,0,0,False,15,162,active,1,0,1,162
1670202434,1,1,0,16,False,2,163,active,1,0,1,163
86400,0,0,0,0,False,0,167,out_of_service,0,0,0,167
1670209747,1,0,0,8,False,11,169,active,1,0,1,169
1670188621,1,0,0,8,False,6,170,active,1,0,1,170
1670210292,1,0,0,4,False,19,171,active,1,0,1,171
1670172744,1,1,0,7,False,6,173,active,1,0,1,173
1670198777,1,3,0,11,False,1,174,active,1,0,1,174
1670196386,1,0,0,9,False,8,175,active,1,0,1,175
1670206150,1,2,0,13,False,0,176,active,1,0,1,176
1670216261,1,0,0,4,False,15,177,active,1,0,1,177
1670200879,1,1,0,17,False,0,178,active,0,1,0,178
1670218182,1,2,0,50,False,1,179,active,1,0,1,179
1670211453,1,0,0,11,False,8,180,active,1,0,1,180
1670199063,1,2,0,8,False,9,181,active,1,0,1,181
1670208433,1,0,0,8,False,11,182,active,1,0,1,182
1670211618,1,0,0,5,False,14,183,active,1,0,1,183
1670217809,1,0,0,14,False,5,184,active,1,0,1,184
1670213857,1,0,0,2,False,13,185,active,1,0,1,185
1670209640,1,1,0,4,False,9,186,active,1,0,1,186
1670203858,1,0,0,10,False,5,187,active,1,0,1,187
1670217257,1,0,0,7,False,8,188,active,1,0,1,188
1670215056,1,0,0,0,False,22,189,active,1,1,1,189
1670211030,1,3,0,21,False,12,190,active,1,0,1,190
1670192740,1,0,0,15,False,0,191,active,1,0,1,191
1670212195,1,0,0,2,False,17,192,active,1,0,1,192
1670208811,1,0,0,12,False,3,193,active,1,0,1,193
1670210710,1,0,0,12,False,7,194,active,1,0,1,194
1670216927,1,1,0,1,False,21,195,active,1,0,1,195
1670201984,1,1,0,3,False,6,196,active,1,0,1,196
1670215273,1,1,0,6,False,8,197,active,1,0,1,197
86400,0,0,0,0,False,0,199,out_of_service,0,0,0,199
1670215238,1,3,0,12,False,4,200,active,1,0,1,200
