Column1
59
60
66
97
46
420
45
7
153
154
53
39
87
28
48
67
252
270
9
72
10
263
68
164
65
95
347
8
62
197
348
81
165
31
327
73
19
40
384
233
152
110
335
94
36
133
419
367
100
35
90
271
79
18
98
29
24
3
51
274
129
64
14
299
105
33
138
20
86
321
70
34
106
160
261
78
75
15
17
417
445
226
247
265
433
47
125
11
88
50
254
412
432
30
216
195
25
16
141
180
196
12
192
85
61
2
190
291
272
302
221
63
303
219
200
354
424
26
4
6
290
255
52
71
285
42
296
159
13
250
223
222
170
311
236
287
301
23
161
298
77
267
330
140
56
1
108
151
111
155
58
109
22
38
21
136
256
167
269
400
268
107
266
37
43
333
158
119
331
211
135
204
214
76
44
84
366
229
273
224
112
114
370
150
225
423
286
127
130
49
101
5
362
27
174
427
446
405
198
218
134
89
143
124
193
220
32
55
313
336
163
41
203
351
157
248
300
399
398
57
322
120
92
156
289
147
295
215
184
139
74
122
91
391
245
145
116
181
103
132
123
237
128
69
402
212
93
213
388
169
249
251
117
168
323
389
83
253
126
104
430
428
137
202
131
144
338
96
102
166
294
235
304
185
356
326
201
121
293
392
186
113
337
149
194
217
162
242
99
355
434
363
418
328
262
339
426
178
292
82
437
378
383
387
189
172
334
288
309
358
444
320
332
275
171
353
379
284
310
183
118
435
278
187
258
371
390
401
429
148
325
431
115
386
209
340
179
443
277
208
376
364
407
409
345
175
282
385
191
228
352
210
394
173
279
436
447
442
393
276
176
230
308
281
206
324
146
246
142
341
259
177
369
306
182
344
319
377
448
343
357
374
360
283
439
381
438
207
297
232
349
264
361
397
415
199
241
395
350
342
312
382
227
316
240
375
406
425
314
188
346
396
329
234
239
441
408
373
231
318
380
244
317
404
440
280
359
307
365
413
449
315
238
414
372
205
421
411
368
410
422
416
54
80
243
257
260
305
403
